Client Code,Client Name,Payee Code,Payee Name,Song Code,Song Title,Composers,Source Code,Source Name,Income Type,Income Type Name,Main Income Type Name,Catalogue No ,Units,Income Period,Percentage Collected by BMG,Amount Collected,Royalty Payout Percentage,Royalty Payable,Domestic Or Foreign Source Indicator,Foreign Source,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Artist,ISRC,Album Or Production,Episode,License Number,Original Source As Received,Original Source,
131337,Apache Music (PM),131337,Apache Music (PM),6089199,Specular Reflection,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.45,40,0.18,F,GEMA,26,587,DEU,Germany,,,/,Civil War/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6106557,Crushed,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.85,40,0.34,F,GEMA,26,587,DEU,Germany,,,/,Pardon My French/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6109282,Syrup,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.05,40,0.02,F,GEMA,26,587,DEU,Germany,,,/,Daddy's Little Tall Girl/Indian Matchmaking,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6192515,Dirty Pursuit,Poucher,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,0.5,40,0.2,F,GEMA,26,587,DEU,Germany,,,/,Nice Guys Finish Last/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6209939,Building Sorrow,Hogston,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,4.1,40,1.64,F,GEMA,26,587,DEU,Germany,,,/,How to Hunt a Sexual Predator/Raising Voices,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6346055,Barnyard Stomp,James,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,1.45,40,0.58,F,GEMA,26,587,DEU,Germany,,,/,Welcome to Battle Camp!/Battle Camp,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6717335,Droid Invasion,Tenku,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.68,40,0.27,F,GEMA,26,587,DEU,Germany,,,/,Fall From Grace/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6718777,Speedway,Tenku,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,0.28,40,0.11,F,GEMA,26,587,DEU,Germany,,,/,Episode 1/Singles Inferno,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6827673,Payback,James,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202504202506,100,3.83,40,1.53,F,GEMA,26,587,DEU,Germany,,,/,Frenemies/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087460,Dunes,Cole,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,1.37,40,0.55,F,GEMA,26,587,DEU,Germany,,,/,Cash Is King/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6188312,Legends,James,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,0.05,40,0.02,F,GEMA,26,587,DEU,Germany,,,/,Under Pressure/Break Point,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6199972,Saviour,Tenku,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.1,40,0.04,F,GEMA,26,587,DEU,Germany,,,/,Junglemoon/Love Is Blind: Brazil,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6827319,Gamechanger,James,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.75,40,0.3,F,GEMA,26,587,DEU,Germany,,,/,Red or Black/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6188056,Firedive,James,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.13,40,0.05,F,GEMA,26,587,DEU,Germany,,,/,"Like Father, Like Son?/Formula 1: Drive to Survive",,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6199107,Desert Sandstorm,Tenku,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.02,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6300950,Betrayed,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,2.13,40,0.85,F,GEMA,26,587,DEU,Germany,,,/,Money Talks/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6737265,Rise To Glory,Groves/Ross,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.07,40,0.03,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),7070378,Imminence,James,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,0,202507202509,50,0.02,40,0.01,F,GEMA,26,587,DEU,Germany,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088460,Mental Tension,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,0.42,40,0.17,F,GEMA,26,587,DEU,Germany,,,/,Just Here for a Hall Pass?/The Ultimatum: Marry or,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088865,Realignment,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.17,40,0.07,F,GEMA,26,587,DEU,Germany,,,/,Dances With Wolff/Formula 1: Drive to Survive,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088956,Road To Damascus,James,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202504202506,50,0.22,40,0.09,F,GEMA,26,587,DEU,Germany,,,/,One Last Chance/Break Point,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6089050,Sector 79,Coupe/Downes,RMGE,BMG RM Germany,42,Video Streaming Mech,Digital/New Media,,1,202507202509,100,0.63,40,0.25,F,GEMA,26,587,DEU,Germany,,,/,We Need to Talk About Ferrari/Formula 1: Drive to,,,Netflix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6300950,Betrayed,Coupe/Downes,RMGE,BMG RM Germany,43,Video Streaming Perf,Digital/New Media,,1,202507202509,50,0.05,40,0.02,F,GEMA,26,587,DEU,Germany,,,/,Fairytale in New York/Break Point,,,Netflix,
