Client Code,Client Name,Payee Code,Payee Name,Song Code,Song Title,Composers,Source Code,Source Name,Income Type,Income Type Name,Main Income Type Name,Catalogue No ,Units,Income Period,Percentage Collected by BMG,Amount Collected,Royalty Payout Percentage,Royalty Payable,Domestic Or Foreign Source Indicator,Foreign Source,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Artist,ISRC,Album Or Production,Episode,License Number,Original Source As Received,Original Source
131337,Apache Music (PM),131337,Apache Music (PM),6095931,Summer Ride,Cousins,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.71,50,0.36,F,AdRev,26,538,USA,United States of America,"John Samuel Hanson (BMI), Yoav Goren (BMI), Jeffrey Fayman (",QMSTJ1100993,1RM012 Tender & Romantic 1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6108496,Overmorrow,Groves,MUTK,Muzikotek,4,Performance,Performance,,0,202510202512,0,0.22,50,0.11,F,Muzikotek,26,735,TUR,Turkey,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095204,Expansion,Seed,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202601202601,0,0.03,50,0.02,F,AdRev,26,382,USA,United States of America,"Ed Seed, PRS",GX5CJ2100331,APA054 PUNK FUNK,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6096167,Woven,Thomas/Trueman,KONG,Konga                               -for,57,Neighboring Rights,Performance,,0,202507202512,0,0.78,50,0.39,F,Konga Music,26,820,ESP,Spain,,GX5CJ2100319,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6107901,Let Light,Groves,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,1.1,50,0.55,F,AdRev,26,538,USA,United States of America,"Lee Groves, PRS",GX5CJ2100355,APA057 WIDESCREEN,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6089050,Sector 79,Coupe/Downes,PRCM,Prion Music Publishing,46,TV Performance,Performance,,0,202501202506,50,0.16,50,0.08,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,NETFLIX,Netflix
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6167032,Iron Weight,Trueman,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,113,202601202601,0,0.36,50,0.18,F,AdRev,26,382,USA,United States of America,Thomas Trueman (PRS),GX5CJ2100387,APA062 INDUSTRIAL BEATS VOL.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088835,Race In,Cole,MCPS,MCPS,1,Mechanicals,Mechanical,TOP GEAR (2002),0,202501202506,100,4.66,50,2.33,D,,25,3568,IRL,Ireland,,,"Rte Television Including Rte 1, Rte 2 And Non-Ephe",,,Irish Blanket,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6106904,Emerging Story,Burns,KONG,Konga                               -for,5,Synchronization,Sync.,,92120,202507202512,0,0.04,50,0.02,F,Konga Music,26,820,ESP,Spain,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),7072418,Takeover,Coupe/Downes,KONG,Konga                               -for,46,TV Performance,Performance,,12,202507202512,0,0.46,50,0.23,F,Konga Music,26,820,ESP,Spain,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),7103040,Ghost Town,Burrow,SYNC,THIRD PARTY Synchronization Rights,5,Synchronization,Sync.,FIFA Stories Fr,0,202410202509,0,45.19,50,22.6,D,,26,4,GBR,United Kingdom,,,FIFA Stories From The Cities Music Cue Sheet - Gua,,,Noah Media Group,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088826,Quick C,Coupe/Downes,MCPS,MCPS,1,Mechanicals,Mechanical,LOADED IN PARAD,0,202501202506,100,0.67,50,0.34,D,,25,3568,IRL,Ireland,,,Mcpsi Virgin Media 2 General,,,Irish Blanket,Virgin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095187,Elsewhere,Thomas/Trueman,MCPS,MCPS,35,Streaming Mechanical,Digital/New Media,,452,202501202503,50,0.01,50,0.01,D,,25,3568,SVK,Slovakia,,,YOUTUBE/USAGE-S,,,Slovakian (SOZA) General & Broadcasting,Youtube
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6346055,Barnyard Stomp,James,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.16,50,0.08,F,AdRev,26,538,USA,United States of America,Tobias James (PRS),GX5CJ2101258,APA085 AMERICANA VOL.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095602,Mystic Chill,Thomas,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,2,202601202601,0,0.05,50,0.03,F,AdRev,26,382,USA,United States of America,"Robert Thomas, PRS",GX5CJ2100327,APA053 SERVE CHILLED,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6108496,Overmorrow,Groves,PRCM,Prion Music Publishing,1,Mechanicals,Mechanical,,0,202501202506,100,0.33,50,0.17,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,Music in Films/TVprograms,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088196,Kickers,Coupe/Downes,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.05,50,0.03,F,AdRev,26,538,USA,United States of America,Michael Reynolds,QMG491722754,VT001 Retro 1950s TV Music Vol. 1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6166903,Escape,Trueman,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.28,50,0.14,F,AdRev,26,538,USA,United States of America,Thomas Trueman (PRS),GX5CJ2100386,APA062 INDUSTRIAL BEATS VOL.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6231442,Apparatus,Baluteau,MCPS,MCPS,1,Mechanicals,Mechanical,TOP GEAR (2002),0,202501202506,100,2.45,50,1.23,D,,25,3568,IRL,Ireland,,,"Rte Television Including Rte 1, Rte 2 And Non-Ephe",,,Irish Blanket,
